env,method_1,method_2,n1,n2,statistic,pvalue,significant_0.05
atari,ddqn,ga,3,3,1.9639610121239315,0.049534613435626706,True
atari,ddqn,nes,3,3,1.9639610121239315,0.049534613435626706,True
atari,ddqn,ppo,3,3,1.9639610121239315,0.049534613435626706,True
atari,ddqn,sb3_dqn,3,3,1.9639610121239315,0.049534613435626706,True
atari,ddqn,sb3_ppo,3,3,1.9639610121239315,0.049534613435626706,True
atari,ga,nes,3,3,0.0,1.0,False
atari,ga,ppo,3,3,-1.3093073414159544,0.19043026382552397,False
atari,ga,sb3_dqn,3,3,-1.9639610121239315,0.049534613435626706,True
atari,ga,sb3_ppo,3,3,-1.3093073414159544,0.19043026382552397,False
atari,nes,ppo,3,3,-1.3093073414159544,0.19043026382552397,False
atari,nes,sb3_dqn,3,3,-1.9639610121239315,0.049534613435626706,True
atari,nes,sb3_ppo,3,3,-1.3093073414159544,0.19043026382552397,False
atari,ppo,sb3_dqn,3,3,-0.2182178902359924,0.8272593465627113,False
atari,ppo,sb3_ppo,3,3,0.4364357804719848,0.6625205835400574,False
atari,sb3_dqn,sb3_ppo,3,3,0.6546536707079772,0.5126907602619233,False
minatar,ddqn,ga,7,5,2.5171936231175653,0.011829380109451662,True
minatar,ddqn,nes,7,7,1.9805173514998136,0.04764542558436181,True
minatar,ddqn,ppo,7,7,-0.06388765649999399,0.949059680885933,False
minatar,ddqn,sb3_dqn,7,5,-1.8675952687646453,0.06181850640046702,False
minatar,ddqn,sb3_ppo,7,5,-0.8931977372352652,0.3717512896455607,False
minatar,ga,nes,5,7,-1.3803965029999552,0.16746459631208988,False
minatar,ga,ppo,5,7,-2.5171936231175653,0.011829380109451662,True
minatar,ga,sb3_dqn,5,5,-2.6111648393354674,0.009023438818080326,True
minatar,ga,sb3_ppo,5,5,-2.6111648393354674,0.009023438818080326,True
minatar,nes,ppo,7,7,-1.9805173514998136,0.04764542558436181,True
minatar,nes,sb3_dqn,7,5,-2.8419928002940256,0.004483250402085382,True
minatar,nes,sb3_ppo,7,5,-2.8419928002940256,0.004483250402085382,True
minatar,ppo,sb3_dqn,7,5,-2.5171936231175653,0.011829380109451662,True
minatar,ppo,sb3_ppo,7,5,-0.48719876576469007,0.6261174799167386,False
minatar,sb3_dqn,sb3_ppo,5,5,2.1933784650417927,0.028280122568276955,True
