env,seed,method,rank,final_score
atari,0,sb3_dqn,4.0,6.0
atari,0,ga,5.5,0.0
atari,0,nes,5.5,0.0
atari,0,ppo,2.0,11.0
atari,0,ddqn,1.0,24.666666666666668
atari,0,sb3_ppo,3.0,6.333333333333333
atari,1,ppo,4.0,7.0
atari,1,sb3_ppo,2.0,8.666666666666666
atari,1,ddqn,1.0,13.333333333333334
atari,1,nes,5.5,0.0
atari,1,ga,5.5,0.0
atari,1,sb3_dqn,3.0,8.0
atari,2,sb3_ppo,4.5,0.0
atari,2,ga,4.5,0.0
atari,2,ddqn,1.0,17.0
atari,2,nes,4.5,0.0
atari,2,ppo,4.5,0.0
atari,2,sb3_dqn,2.0,10.666666666666666
minatar,0,ppo,8.0,0.6
minatar,0,ddqn,3.0,4.6
minatar,0,ppo,4.0,4.4
minatar,0,nes,11.5,0.0
minatar,0,sb3_dqn,1.0,6.7
minatar,0,nes,11.5,0.0
minatar,0,ddqn,8.0,0.6
minatar,0,nes,5.0,1.4
minatar,0,ddqn,8.0,0.6
minatar,0,sb3_ppo,2.0,5.0
minatar,0,ppo,8.0,0.6
minatar,0,ga,8.0,0.6
minatar,1,ddqn,2.0,6.2
minatar,1,sb3_dqn,3.0,5.9
minatar,1,nes,5.0,0.6
minatar,1,sb3_ppo,1.0,6.4
minatar,1,ga,6.0,0.0
minatar,1,ppo,4.0,5.0
minatar,2,ppo,2.0,5.5
minatar,2,ga,6.0,0.6
minatar,2,ddqn,3.0,4.4
minatar,2,sb3_ppo,4.0,3.8
minatar,2,sb3_dqn,1.0,7.3
minatar,2,nes,5.0,1.6
minatar,3,nes,5.0,1.5
minatar,3,ppo,3.0,5.5
minatar,3,sb3_dqn,2.0,6.5
minatar,3,ddqn,1.0,7.0
minatar,3,ga,6.0,0.0
minatar,3,sb3_ppo,4.0,4.7
minatar,4,ga,6.0,0.4
minatar,4,ppo,3.0,5.1
minatar,4,sb3_ppo,2.0,5.3
minatar,4,nes,5.0,1.2
minatar,4,sb3_dqn,1.0,5.4
minatar,4,ddqn,4.0,4.4
